entity_name,entity_type,salty,umami,sweet,sour,bitter,notes
vanilla,ingredient,0.005,0.132,0.443,0.109,0.247,"Category: Fruit Essence, Molecules: 174"
mushroom,ingredient,0.004,0.222,0.346,0.128,0.203,"Category: Fungus, Molecules: 227"
truffle,ingredient,0.0,0.4,0.29,0.2,0.15,"Category: Fungus, Molecules: 20"
angelica,ingredient,0.0,0.098,0.366,0.141,0.304,"Category: Herb, Molecules: 112"
artemisia,ingredient,0.0,0.116,0.364,0.149,0.306,"Category: Herb, Molecules: 121"
basil,ingredient,0.004,0.071,0.381,0.171,0.238,"Category: Herb, Molecules: 210"
buckwheat,ingredient,0.005,0.153,0.335,0.147,0.281,"Category: Herb, Molecules: 163"
calamus,ingredient,0.0,0.194,0.484,0.226,0.226,"Category: Herb, Molecules: 31"
chervil,ingredient,0.0,0.108,0.402,0.118,0.363,"Category: Herb, Molecules: 102"
coriander,ingredient,0.0,0.106,0.378,0.208,0.219,"Category: Herb, Molecules: 196"
cornmint,ingredient,0.0,0.103,0.335,0.148,0.265,"Category: Herb, Molecules: 155"
dill,ingredient,0.0,0.085,0.325,0.165,0.235,"Category: Herb, Molecules: 200"
fennel,ingredient,0.0,0.075,0.393,0.184,0.306,"Category: Herb, Molecules: 147"
fenugreek,ingredient,0.007,0.143,0.34,0.089,0.325,"Category: Herb, Molecules: 123"
garlic,ingredient,0.0,0.158,0.306,0.112,0.259,"Category: Herb, Molecules: 143"
lemon balm,ingredient,0.0,0.073,0.345,0.158,0.226,"Category: Herb, Molecules: 177"
liqourice,ingredient,0.0,0.262,0.452,0.119,0.19,"Category: Herb, Molecules: 42"
mint,ingredient,0.0,0.105,0.388,0.154,0.222,"Category: Herb, Molecules: 162"
rhubarb,ingredient,0.0,0.104,0.357,0.104,0.348,"Category: Herb, Molecules: 115"
rosemary,ingredient,0.0,0.087,0.372,0.174,0.261,"Category: Herb, Molecules: 207"
sage,ingredient,0.0,0.069,0.346,0.157,0.283,"Category: Herb, Molecules: 159"
spearmint,ingredient,0.003,0.097,0.358,0.16,0.194,"Category: Herb, Molecules: 237"
scotch spearmint,ingredient,0.0,0.111,0.328,0.083,0.167,"Category: Herb, Molecules: 36"
tarragon,ingredient,0.0,0.069,0.41,0.146,0.319,"Category: Herb, Molecules: 144"
thyme,ingredient,0.0,0.098,0.351,0.155,0.259,"Category: Herb, Molecules: 174"
beef,ingredient,0.009,0.239,0.346,0.107,0.13,"Category: Meat, Molecules: 92"
beef processed,ingredient,0.008,0.331,0.274,0.095,0.124,"Category: Meat, Molecules: 209"
chicken,ingredient,0.0,0.304,0.307,0.151,0.107,"Category: Meat, Molecules: 131"
frankfurter sausage,ingredient,0.0,0.0,0.0,0.0,0.5,"Category: Dish, Molecules: 4"
ham,ingredient,0.133,0.167,0.0,0.0,0.333,"Category: Meat, Molecules: 6"
lamb,ingredient,0.022,0.216,0.162,0.135,0.081,"Category: Meat, Molecules: 37"
meat,ingredient,0.0,0.421,0.255,0.191,0.191,"Category: Meat, Molecules: 47"
mutton,ingredient,0.017,0.277,0.204,0.191,0.064,"Category: Meat, Molecules: 47"
pork,ingredient,0.0,0.31,0.303,0.107,0.121,"Category: Meat, Molecules: 157"
sukiyaki,ingredient,0.0,0.4,0.2,0.2,0.2,"Category: Meat, Molecules: 10"
turkey,ingredient,0.0,0.294,0.118,0.235,0.294,"Category: Meat, Molecules: 17"
almond,ingredient,0.006,0.146,0.354,0.1,0.362,"Category: Nut, Molecules: 130"
brazil nut,ingredient,0.0,0.108,0.36,0.117,0.369,"Category: Nut, Molecules: 111"
cocoa,ingredient,0.003,0.218,0.386,0.116,0.231,"Category: Seed, Molecules: 294"
beans,ingredient,0.004,0.155,0.342,0.112,0.32,"Category: Legume, Molecules: 178"
lima beans,ingredient,0.005,0.159,0.349,0.115,0.299,"Category: Legume, Molecules: 174"
kidney beans,ingredient,0.009,0.248,0.305,0.132,0.22,"Category: Legume, Molecules: 91"
peanut,ingredient,0.004,0.223,0.337,0.117,0.278,"Category: Nut, Molecules: 212"
peas,ingredient,0.005,0.13,0.336,0.124,0.308,"Category: Legume, Molecules: 169"
soybean,ingredient,0.0,0.206,0.371,0.133,0.27,"Category: Legume, Molecules: 225"
soybean oil,ingredient,0.0,0.0,0.25,0.25,0.0,"Category: Legume, Molecules: 4"
soybean sauce,ingredient,0.0,0.211,0.316,0.105,0.368,"Category: Plant Derivative, Molecules: 19"
filbert,ingredient,0.0,0.374,0.368,0.1,0.11,"Category: Nut, Molecules: 100"
hazelnut,ingredient,0.0,0.128,0.358,0.11,0.376,"Category: Nut, Molecules: 109"
macadamia nut,ingredient,0.0,0.144,0.377,0.117,0.36,"Category: Nut, Molecules: 111"
nuts,ingredient,0.0,0.143,0.286,0.0,0.429,"Category: Nut, Molecules: 7"
pecans,ingredient,0.0,0.172,0.385,0.155,0.318,"Category: Nut, Molecules: 148"
walnut,ingredient,0.0,0.089,0.333,0.111,0.333,"Category: Nut, Molecules: 135"
muskmallow,ingredient,0.0,0.0,0.0,0.0,0.0,"Category: Seed, Molecules: 1"
sesame,ingredient,0.006,0.208,0.352,0.123,0.292,"Category: Seed, Molecules: 130"
allium,ingredient,0.0,0.125,0.0,0.0,0.0,"Category: Plant, Molecules: 8"
alpinia,ingredient,0.0,0.0,1.0,0.0,1.0,"Category: Plant, Molecules: 1"
ceriman,ingredient,0.0,0.0,1.0,0.0,0.5,"Category: Plant, Molecules: 2"
chicory,ingredient,0.0,0.107,0.373,0.116,0.33,"Category: Plant, Molecules: 112"
hops,ingredient,0.0,0.375,0.125,0.188,0.125,"Category: Plant, Molecules: 16"
laurel,ingredient,0.0,0.072,0.349,0.163,0.258,"Category: Plant, Molecules: 209"
myrtle,ingredient,0.0,0.0,0.5,0.333,0.1,"Category: Plant, Molecules: 30"
olive,ingredient,0.0,0.11,0.431,0.103,0.348,"Category: Plant, Molecules: 155"
pine,ingredient,0.0,0.117,0.392,0.133,0.375,"Category: Plant, Molecules: 120"
sassafras,ingredient,0.0,0.143,0.571,0.429,0.429,"Category: Plant, Molecules: 7"
tea,ingredient,0.004,0.165,0.362,0.13,0.23,"Category: Plant, Molecules: 391"
fermented tea,ingredient,0.0,0.125,0.75,0.0,0.125,"Category: Plant Derivative, Molecules: 8"
tobacco,ingredient,0.0,0.252,0.387,0.13,0.217,"Category: Plant, Molecules: 46"
watercress,ingredient,0.0,0.124,0.362,0.133,0.362,"Category: Plant, Molecules: 105"
creosote,ingredient,0.0,0.143,0.571,0.0,0.286,"Category: Plant Derivative, Molecules: 7"
honey,ingredient,0.0,0.133,0.45,0.167,0.183,"Category: Plant Derivative, Molecules: 60"
macaroni,ingredient,0.0,0.0,0.0,0.0,0.667,"Category: Plant Derivative, Molecules: 3"
mustard oil,ingredient,0.0,0.0,0.0,0.0,0.5,"Category: Plant Derivative, Molecules: 2"
peanut butter,ingredient,0.0,0.444,0.2,0.222,0.0,"Category: Plant Derivative, Molecules: 9"
peanut oil,ingredient,0.0,0.25,0.25,0.2,0.1,"Category: Plant Derivative, Molecules: 20"
rye,ingredient,0.0,0.11,0.37,0.13,0.36,"Category: Cereal, Molecules: 100"
storax,ingredient,0.0,0.0,0.0,0.0,0.0,"Category: Plant Derivative, Molecules: 1"
vinegar,ingredient,0.0,0.102,0.367,0.204,0.306,"Category: Plant Derivative, Molecules: 49"
anise,ingredient,0.0,0.069,0.393,0.145,0.303,"Category: Spice, Molecules: 145"
anise hyssop,ingredient,0.0,0.222,0.333,0.0,0.111,"Category: Spice, Molecules: 9"
star anise,ingredient,0.0,0.067,0.393,0.173,0.28,"Category: Spice, Molecules: 150"
caraway,ingredient,0.0,0.0,0.25,0.25,0.062,"Category: Spice, Molecules: 16"
cardamom,ingredient,0.0,0.081,0.335,0.197,0.26,"Category: Spice, Molecules: 173"
cassia,ingredient,0.0,0.097,0.414,0.15,0.29,"Category: Spice, Molecules: 145"
celery,ingredient,0.0,0.065,0.375,0.189,0.239,"Category: Spice, Molecules: 217"
cinnamon,ingredient,0.0,0.06,0.415,0.163,0.279,"Category: Spice, Molecules: 183"
clove,ingredient,0.0,0.09,0.367,0.102,0.277,"Category: Spice, Molecules: 177"
cumin,ingredient,0.0,0.067,0.383,0.141,0.282,"Category: Spice, Molecules: 149"
ginger,ingredient,0.003,0.084,0.335,0.175,0.211,"Category: Spice, Molecules: 251"
mace,ingredient,0.0,0.048,0.524,0.476,0.143,"Category: Spice, Molecules: 21"
marjoram,ingredient,0.0,0.078,0.356,0.172,0.261,"Category: Spice, Molecules: 180"
nutmeg,ingredient,0.0,0.088,0.376,0.182,0.287,"Category: Spice, Molecules: 170"
oregano,ingredient,0.004,0.083,0.332,0.176,0.223,"Category: Spice, Molecules: 193"
parsley,ingredient,0.0,0.072,0.351,0.172,0.256,"Category: Spice, Molecules: 167"
pepper,ingredient,0.0,0.063,0.368,0.179,0.237,"Category: Spice, Molecules: 223"
saffron,ingredient,0.0,0.079,0.386,0.15,0.323,"Category: Spice, Molecules: 127"
turmeric,ingredient,0.0,0.092,0.369,0.154,0.292,"Category: Spice, Molecules: 130"
green beans,ingredient,0.004,0.151,0.332,0.116,0.323,"Category: Vegetable, Molecules: 189"
chive,ingredient,0.0,0.119,0.316,0.103,0.302,"Category: Vegetable, Molecules: 126"
endive,ingredient,0.0,0.102,0.373,0.136,0.331,"Category: Vegetable, Molecules: 118"
leek,ingredient,0.0,0.125,0.336,0.125,0.297,"Category: Vegetable, Molecules: 128"
lettuce,ingredient,0.0,0.086,0.386,0.114,0.343,"Category: Vegetable, Molecules: 140"
okra,ingredient,0.0,0.149,0.395,0.107,0.306,"Category: Vegetable, Molecules: 121"
onion,ingredient,0.0,0.128,0.308,0.1,0.25,"Category: Vegetable, Molecules: 180"
shallot,ingredient,0.0,0.12,0.343,0.102,0.324,"Category: Vegetable, Molecules: 108"
peppermint,ingredient,0.004,0.093,0.364,0.137,0.273,"Category: Herb, Molecules: 227"
broccoli,ingredient,0.0,0.123,0.315,0.115,0.391,"Category: Cabbage, Molecules: 130"
brussels sprout,ingredient,0.0,0.113,0.329,0.113,0.391,"Category: Cabbage, Molecules: 115"
cabbage,ingredient,0.0,0.11,0.305,0.121,0.334,"Category: Cabbage, Molecules: 173"
cauliflower,ingredient,0.0,0.128,0.342,0.12,0.39,"Category: Cabbage, Molecules: 125"
horseradish,ingredient,0.0,0.102,0.331,0.119,0.339,"Category: Cabbage, Molecules: 118"
mustard,ingredient,0.0,0.127,0.366,0.112,0.343,"Category: Cabbage, Molecules: 134"
radish,ingredient,0.0,0.124,0.336,0.124,0.354,"Category: Vegetable Root, Molecules: 113"
turnip,ingredient,0.0,0.106,0.356,0.125,0.375,"Category: Vegetable Root, Molecules: 104"
kohlrabi,ingredient,0.0,0.173,0.342,0.106,0.282,"Category: Cabbage, Molecules: 142"
rutabaga,ingredient,0.0,0.113,0.359,0.142,0.354,"Category: Vegetable Root, Molecules: 113"
wasabi,ingredient,0.0,0.1,0.36,0.1,0.36,"Category: Cabbage, Molecules: 100"
